MÊS;ERP
01/01/2006;0,122510133
01/02/2006;0,11689156
01/03/2006;0,111827934
01/04/2006;0,106296682
01/05/2006;0,106858976
01/06/2006;0,10321059
01/07/2006;0,104273761
01/08/2006;0,099191823
01/09/2006;0,097977952
01/10/2006;0,095864637
01/11/2006;0,088506948
01/12/2006;0,082991558
01/01/2007;0,077215118
01/02/2007;0,079397037
01/03/2007;0,095585256
01/04/2007;0,085806065
01/05/2007;0,081207326
01/06/2007;0,082961483
01/07/2007;0,085322651
01/08/2007;0,085340133
01/09/2007;0,088928884
01/10/2007;0,087744511
01/11/2007;0,093737831
01/12/2007;0,086712399
01/01/2008;0,094171523
01/02/2008;0,093871675
01/03/2008;0,095682797
01/04/2008;0,089221726
01/05/2008;0,085276871
01/06/2008;0,0907608
01/07/2008;0,090094041
01/08/2008;0,092978334
01/09/2008;0,104919074
01/10/2008;0,115022787
01/11/2008;0,127136189
01/12/2008;0,142196044
01/01/2009;0,134091521
01/02/2009;0,132317334
01/03/2009;0,121847808
01/04/2009;0,108840189
01/05/2009;0,102075387
01/06/2009;0,090431157
01/07/2009;0,08825436
01/08/2009;0,085062467
01/09/2009;0,08194496
01/10/2009;0,083103149
01/11/2009;0,084939308
01/12/2009;0,091998835
01/01/2010;0,094406445
01/02/2010;0,09677333
01/03/2010;0,10525015
01/04/2010;0,10079451
01/05/2010;0,097475443
01/06/2010;0,105756568
01/07/2010;0,105329474
01/08/2010;0,105505818
01/09/2010;0,10964076
01/10/2010;0,105134129
01/11/2010;0,104735807
01/12/2010;0,094346589
01/01/2011;0,095407238
01/02/2011;0,093390807
01/03/2011;0,093441142
01/04/2011;0,093643792
01/05/2011;0,100328363
01/06/2011;0,099388836
01/07/2011;0,105386071
01/08/2011;0,112121001
01/09/2011;0,110785961
01/10/2011;0,103606126
01/11/2011;0,104884499
01/12/2011;0,100094556
01/01/2012;0,096997484
01/02/2012;0,090887605
01/03/2012;0,087800299
01/04/2012;0,095810215
01/05/2012;0,105150939
01/06/2012;0,090817329
01/07/2012;0,09198193
01/08/2012;0,090527592
01/09/2012;0,093210291
01/10/2012;0,092447998
01/11/2012;0,095606034
01/12/2012;0,091047275
01/01/2013;0,087449844
01/02/2013;0,089884575
01/03/2013;0,083440031
01/04/2013;0,08474935
01/05/2013;0,080522617
01/06/2013;0,075014888
01/07/2013;0,077769654
01/08/2013;0,076109151
01/09/2013;0,074874558
01/10/2013;0,073769426
01/11/2013;0,079046522
01/12/2013;0,075700419
01/01/2014;0,084845264
01/02/2014;0,084096941
01/03/2014;0,095085723
01/04/2014;0,096617837
01/05/2014;0,09870116
01/06/2014;0,094012781
01/07/2014;0,095099369
01/08/2014;0,095412123
01/09/2014;0,082926779
01/10/2014;0,087456379
01/11/2014;0,090265236
01/12/2014;0,090600537
01/01/2015;0,105330167
01/02/2015;0,103793329
01/03/2015;0,106466186
01/04/2015;0,102771977
01/05/2015;0,106359812
01/06/2015;0,102436227
01/07/2015;0,108247458
01/08/2015;0,113094061
01/09/2015;0,099532566
01/10/2015;0,097344609
01/11/2015;0,096030564
01/12/2015;0,097946408
01/01/2016;0,107207252
01/02/2016;0,106239135
01/03/2016;0,09661333
01/04/2016;0,090745872
01/05/2016;0,081503302
01/06/2016;0,084903302
01/07/2016;0,078454321
01/08/2016;0,077005107
01/09/2016;0,07906249
01/10/2016;0,090803823
01/11/2016;0,081366322
01/12/2016;0,08552444
01/01/2017;0,083374527
01/02/2017;0,082618737
01/03/2017;0,082301802
01/04/2017;0,079480761
01/05/2017;0,083960753
01/06/2017;0,0821819
01/07/2017;0,078582384
01/08/2017;0,07351483
01/09/2017;0,071798584
01/10/2017;0,070893602
01/11/2017;0,061052757
01/12/2017;0,067122787
01/01/2018;0,057519099
01/02/2018;0,065520472
01/03/2018;0,07212577
01/04/2018;0,064064244
01/05/2018;0,071824636
01/06/2018;0,07977518
01/07/2018;0,091939862
01/08/2018;0,101019895
01/09/2018;0,104963764
01/10/2018;0,068665348
01/11/2018;0,077599591
01/12/2018;0,076296519
01/01/2019;0,071150212
01/02/2019;0,074978703
01/03/2019;0,081082223
01/04/2019;0,080864791
01/05/2019;0,087764304
01/06/2019;0,085839179
01/07/2019;0,089544718
01/08/2019;0,096872727
01/09/2019;0,09456567
01/10/2019;0,095998871
01/11/2019;0,09041018
01/12/2019;0,08034643
01/01/2020;0,088138805
01/02/2020;0,093984259
01/03/2020;0,114444556
01/04/2020;0,11883485
01/05/2020;0,108020065
01/06/2020;0,1015
01/07/2020;0,103940712
01/08/2020;0,098747907
01/09/2020;0,102803773
01/10/2020;0,100308156
01/11/2020;0,094781091
01/12/2020;0,099688115
01/01/2021;0,103459538
01/02/2021;0,099036977
01/03/2021;0,112020046
01/04/2021;0,1105
01/05/2021;0,10375606
01/06/2021;0,11288777
01/07/2021;0,1217
01/08/2021;0,118604706
01/09/2021;0,153214673
01/10/2021;0,1565
01/11/2021;0,154801163
01/12/2021;0,180869755
01/01/2022;0,152037115
01/02/2022;0,150450865
01/03/2022;0,134026998
01/04/2022;0,136615505
01/05/2022;0,1321
01/06/2022;0,1651
01/07/2022;0,1585
01/08/2022;0,1331
01/09/2022;0,1463
01/10/2022;0,1197
01/11/2022;0,1177
01/12/2022;0,117218376
01/01/2023;0,112566
01/02/2023;0,104066
01/03/2023;0,100060633
